time,signal
0,-0.000977517
0.0208333,-0.000977517
0.0416667,-0.000977517
0.0625,-0.000977517
0.0833333,-0.000977517
0.104167,-0.000977517
0.125,-0.000977517
0.145833,-0.000977517
0.166667,-0.000977517
0.1875,-0.000977517
0.208333,-0.000977517
0.229167,-0.000977517
0.25,-0.000977517
0.270833,-0.000977517
0.291667,-0.000977517
0.3125,-0.000977517
0.333333,-0.000977517
0.354167,-0.000977517
0.375,-0.000977517
0.395833,-0.000977517
0.416667,-0.000977517
0.4375,-0.000977517
0.458333,-0.000977517
0.479167,-0.000977517
0.5,-0.000977517
0.520833,-0.000977517
0.541667,-0.000977517
0.5625,-0.000977517
0.583333,-0.000977517
0.604167,-0.000977517
0.625,-0.000977517
0.645833,-0.000977517
0.666667,-0.000977517
0.6875,-0.000977517
0.708333,-0.000977517
0.729167,-0.000977517
0.75,-0.000977517
0.770833,-0.000977517
0.791667,-0.000977517
0.8125,-0.000977517
0.833333,-0.000977517
0.854167,-0.000977517
0.875,-0.000977517
0.895833,1
0.916667,1
0.9375,1
0.958333,1
0.979167,1
1,1
1.02083,1
1.04167,1
1.0625,1
1.08333,1
1.10417,1
1.125,1
1.14583,1
1.16667,1
1.1875,1
1.20833,1
1.22917,1
1.25,1
1.27083,1
1.29167,1
1.3125,1
1.33333,1
1.35417,1
1.375,1
1.39583,1
1.41667,1
1.4375,1
1.45833,1
1.47917,1
1.5,1
1.52083,1
1.54167,1
1.5625,1
1.58333,1
1.60417,1
1.625,1
1.64583,1
1.66667,1
1.6875,1
1.70833,1
1.72917,1
1.75,1
1.77083,1
1.79167,1
1.8125,1
1.83333,1
1.85417,1
1.875,1
1.89583,1
1.91667,-0.000977517
1.9375,-0.000977517
1.95833,-0.000977517
1.97917,-0.000977517
2,-0.000977517
2.02083,-0.000977517
2.04167,-0.000977517
2.0625,-0.000977517
2.08333,-0.000977517
2.10417,-0.000977517
2.125,-0.000977517
2.14583,-0.000977517
2.16667,-0.000977517
2.1875,-0.000977517
2.20833,-0.000977517
2.22917,-0.000977517
2.25,-0.000977517
2.27083,-0.000977517
2.29167,-0.000977517
2.3125,-0.000977517
2.33333,-0.000977517
2.35417,-0.000977517
2.375,-0.000977517
2.39583,-0.000977517
2.41667,-0.000977517
2.4375,-0.000977517
2.45833,-0.000977517
2.47917,-0.000977517
2.5,-0.000977517
2.52083,-0.000977517
2.54167,-0.000977517
2.5625,-0.000977517
2.58333,-0.000977517
2.60417,-0.000977517
2.625,-0.000977517
2.64583,-0.000977517
2.66667,-0.000977517
2.6875,-0.000977517
2.70833,-0.000977517
2.72917,-0.000977517
2.75,-0.000977517
2.77083,-0.000977517
2.79167,-0.000977517
2.8125,-0.000977517
2.83333,-0.000977517
2.85417,-0.000977517
2.875,-0.000977517
2.89583,-0.000977517
2.91667,-0.000977517
2.9375,-0.000977517
2.95833,-0.000977517
2.97917,-0.000977517
3,-0.000977517
3.02083,-0.000977517
3.04167,-0.000977517
3.0625,-0.000977517
3.08333,-0.000977517
3.10417,-0.000977517
3.125,-0.000977517
3.14583,-0.000977517
3.16667,-0.000977517
3.1875,-0.000977517
3.20833,-0.000977517
3.22917,-0.000977517
3.25,-0.000977517
3.27083,-0.000977517
3.29167,-0.000977517
3.3125,-0.000977517
3.33333,-0.000977517
3.35417,-0.000977517
3.375,-0.000977517
3.39583,-0.000977517
3.41667,-0.000977517
3.4375,-0.000977517
3.45833,-0.000977517
3.47917,-0.000977517
3.5,-0.000977517
3.52083,-0.000977517
3.54167,-0.000977517
3.5625,-0.000977517
3.58333,-0.000977517
3.60417,-0.000977517
3.625,-0.000977517
3.64583,1
3.66667,1
3.6875,1
3.70833,1
3.72917,1
3.75,1
3.77083,1
3.79167,1
3.8125,1
3.83333,1
3.85417,1
3.875,1
3.89583,1
3.91667,1
3.9375,1
3.95833,1
3.97917,1
4,1
4.02083,1
4.04167,1
4.0625,1
4.08333,1
4.10417,1
4.125,1
4.14583,1
4.16667,1
4.1875,1
4.20833,1
4.22917,1
4.25,1
4.27083,1
4.29167,1
4.3125,1
4.33333,1
4.35417,1
4.375,1
4.39583,1
4.41667,1
4.4375,1
4.45833,1
4.47917,1
4.5,1
4.52083,1
4.54167,1
4.5625,1
4.58333,1
4.60417,1
4.625,1
4.64583,1
4.66667,-0.000977517
4.6875,-0.000977517
4.70833,-0.000977517
4.72917,-0.000977517
4.75,-0.000977517
4.77083,-0.000977517
4.79167,-0.000977517
4.8125,-0.000977517
4.83333,-0.000977517
4.85417,-0.000977517
4.875,-0.000977517
4.89583,-0.000977517
4.91667,-0.000977517
4.9375,-0.000977517
4.95833,-0.000977517
4.97917,-0.000977517
5,-0.000977517
5.02083,-0.000977517
5.04167,-0.000977517
5.0625,-0.000977517
5.08333,-0.000977517
5.10417,-0.000977517
5.125,-0.000977517
5.14583,-0.000977517
5.16667,-0.000977517
5.1875,-0.000977517
5.20833,-0.000977517
5.22917,-0.000977517
5.25,-0.000977517
5.27083,-0.000977517
5.29167,-0.000977517
5.3125,-0.000977517
5.33333,-0.000977517
5.35417,-0.000977517
5.375,-0.000977517
5.39583,-0.000977517
5.41667,-0.000977517
5.4375,-0.000977517
5.45833,-0.000977517
5.47917,-0.000977517
5.5,-0.000977517
5.52083,-0.000977517
5.54167,-0.000977517
5.5625,-0.000977517
5.58333,-0.000977517
5.60417,-0.000977517
5.625,-0.000977517
5.64583,-0.000977517
5.66667,-0.000977517
5.6875,-0.000977517
5.70833,-0.000977517
5.72917,-0.000977517
5.75,-0.000977517
5.77083,-0.000977517
5.79167,-0.000977517
5.8125,-0.000977517
5.83333,-0.000977517
5.85417,-0.000977517
5.875,-0.000977517
5.89583,-0.000977517
5.91667,-0.000977517
5.9375,-0.000977517
5.95833,-0.000977517
5.97917,-0.000977517
