Intensity,Count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,9
20,30
21,63
22,139
23,201
24,269
25,320
26,491
27,671
28,854
29,990
30,1218
31,1319
32,1687
33,1952
34,1968
35,2090
36,2225
37,2155
38,2379
39,2450
40,2066
41,2101
42,2151
43,2098
44,1612
45,1664
46,1534
47,1330
48,1305
49,1057
50,1143
51,1137
52,931
53,925
54,804
55,814
56,751
57,948
58,811
59,914
60,824
61,879
62,998
63,922
64,818
65,1028
66,892
67,1077
68,828
69,1014
70,926
71,896
72,975
73,1082
74,1018
75,1086
76,1098
77,1353
78,1180
79,1123
80,1630
81,1279
82,1756
83,1405
84,1998
85,1767
86,1936
87,2150
88,1770
89,2077
90,1611
91,1919
92,1829
93,1412
94,1586
95,1383
96,1134
97,1493
98,1417
99,1205
100,1493
101,1376
102,1363
103,1230
104,1441
105,1536
106,1524
107,1625
108,1788
109,1671
110,1965
111,1881
112,1897
113,2629
114,2045
115,2053
116,2433
117,2410
118,2088
119,2253
120,2238
121,1762
122,1961
123,1529
124,2003
125,1976
126,2032
127,1646
128,2251
129,2227
130,2253
131,2310
132,2418
133,2320
134,2110
135,2072
136,2078
137,2583
138,2044
139,1988
140,2082
141,2700
142,2229
143,2921
144,2210
145,2572
146,2081
147,2444
148,1897
149,1949
150,1833
151,1802
152,1448
153,1209
154,1359
155,1284
156,1238
157,1134
158,1082
159,1064
160,1106
161,1231
162,1219
163,1176
164,1092
165,978
166,1293
167,986
168,1209
169,810
170,916
171,713
172,807
173,721
174,572
175,594
176,579
177,633
178,597
179,633
180,550
181,644
182,670
183,703
184,723
185,842
186,904
187,1008
188,734
189,809
190,822
191,729
192,779
193,712
194,803
195,739
196,848
197,742
198,903
199,895
200,907
201,1001
202,956
203,876
204,811
205,923
206,916
207,675
208,717
209,509
210,421
211,406
212,342
213,303
214,279
215,216
216,201
217,175
218,172
219,129
220,88
221,71
222,55
223,49
224,51
225,22
226,18
227,10
228,7
229,6
230,4
231,8
232,1
233,0
234,0
235,0
236,1
237,0
238,0
239,0
240,2
241,0
242,1
243,0
244,1
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
